timestamp,id,x,y,simid,ESstate,currEC,maxEC,totalcurrEC
1761295508798,0,4000,4000
1761295508898,2,2000,2000,1761295508798,0,68.0387,0,0
1761295508898,3,2500,2000,1761295508798,0,68.0387,0,0
1761295508898,4,1750,2433.01,1761295508798,0,0,0,0
1761295508898,5,1750,1566.99,1761295508798,0,0,0,0
1761295508998,2,2000,2000,1761295508798,0,217.251,136.077,136.077
1761295508998,3,2500,2000,1761295508798,0,137.669,136.077,136.077
1761295508998,4,1750,2433.01,1761295508798,0,0,136.077,136.077
1761295508998,5,1750,1566.99,1761295508798,0,0,136.077,136.077
1761295509098,2,2000,2000,1761295508798,0,226.973,354.921,354.921
1761295509098,3,2500,2000,1761295508798,0,148.21,354.921,354.921
1761295509098,4,1750,2433.01,1761295508798,0,0,354.921,354.921
1761295509098,5,1750,1566.99,1761295508798,0,0,354.921,354.921
